course_code	mr_message	me_message	cr_message
BUS1013	This course is a Major Required Course for CCM		
ECON2013	This course is a Major Required Course for CCM, THEM	This course is a Major Elective Course for ENVS, FS (ME Courses on Business and Management)	
MKT2003	This course is a Major Required Course for BA, CCM, THEM		
ECON2003		This course is a Major Elective Course for ENVS, FS (ME Courses on Business and Management)	
BUS2003	This course is a Major Required Course for CCM		
BUS3003	This course is a Major Required Course for CCM		
BUS3023	This course is a Major Required Course for BA, CCM		
BUS4013	This course is a Major Required Course for CCM		
ACCT3003	This course is a Major Required Course for ACCT		
ACCT3033	This course is a Major Required Course for ACCT		
ACCT3023	This course is a Major Required Course for ACCT		
ACCT3043	This course is a Major Required Course for ACCT		
BUS3013	This course is a Major Required Course for ACCT		
ACCT4003	This course is a Major Required Course for ACCT		
ACCT4043	This course is a Major Required Course for ACCT		
ACCT4053	This course is a Major Required Course for ACCT		
ACCT3013		This course is a Major Elective Course for ACCT	
ACCT3053		This course is a Major Elective Course for ACCT	
ACCT3063		This course is a Major Elective Course for ACCT	
ACCT3083		This course is a Major Elective Course for ACCT	
ACCT3093		This course is a Major Elective Course for ACCT	
ACCT4013		This course is a Major Elective Course for ACCT	
ACCT4023		This course is a Major Elective Course for ACCT	
ACCT4063		This course is a Major Elective Course for ACCT	
ACCT4083		This course is a Major Elective Course for ACCT	
BUS4023		This course is a Major Elective Course for ACCT	
FIN3013		This course is a Major Elective Course for ACCT	
ECON3143	This course is a Major Required Course for AE		
ECON3013	This course is a Major Required Course for AE, FIN	This course is a Major Elective Course for BA (Business Applications (BA))	
ECON3063	This course is a Major Required Course for AE		
ECON3003	This course is a Major Required Course for AE		
ECON4043	This course is a Major Required Course for AE		
ECON2023		This course is a Major Elective Course for AE	
ECON2083		This course is a Major Elective Course for AE	
ECON2093		This course is a Major Elective Course for AE	
ECON3023		This course is a Major Elective Course for AE	
ECON3043		This course is a Major Elective Course for AE	
ECON3053		This course is a Major Elective Course for AE	
ECON3073		This course is a Major Elective Course for AE	
ECON3083		This course is a Major Elective Course for AE	
ECON3113		This course is a Major Elective Course for AE	
ECON3123		This course is a Major Elective Course for AE	
ECON3153		This course is a Major Elective Course for AE	
ECON3163		This course is a Major Elective Course for AE	
ECON3173		This course is a Major Elective Course for AE	
ECON3183		This course is a Major Elective Course for AE	
ECON4003		This course is a Major Elective Course for AE	
ECON4013		This course is a Major Elective Course for AE	
ECON4023		This course is a Major Elective Course for AE	
ECON4033		This course is a Major Elective Course for AE	
ECON4053		This course is a Major Elective Course for AE	
ECON4083		This course is a Major Elective Course for AE	
ECON4093		This course is a Major Elective Course for AE	
ECON4103		This course is a Major Elective Course for AE	
ECON4113		This course is a Major Elective Course for AE	
ECON4123		This course is a Major Elective Course for AE	
ECON4133		This course is a Major Elective Course for AE	
AI1003	This course is a Major Required Course for AI		
MATH1003	This course is a Major Required Course for AI, CST, DS, FS	This course is a Major Elective Course for APSY	
MATH1123	This course is a Major Required Course for AI, CST, DS, ENVS, FS	This course is a Major Elective Course for APSY	
AI1013	This course is a Major Required Course for AI		
AI1023	This course is a Major Required Course for AI		
AI2033	This course is a Major Required Course for AI		
AI2003	This course is a Major Required Course for AI		
AI2013	This course is a Major Required Course for AI		
MATH2003	This course is a Major Required Course for AI, CST, DS		
AI2023	This course is a Major Required Course for AI		
AI3013	This course is a Major Required Course for AI		
AI3023	This course is a Major Required Course for AI		
COMP3023	This course is a Major Required Course for AI, CST, DS		
AI3003	This course is a Major Required Course for AI		
AI3163	This course is a Major Required Course for AI		
AI3043	This course is a Major Required Course for AI	This course is a Major Elective Course for AI	
AI4003	This course is a Major Required Course for AI		
AI4004	This course is a Major Required Course for AI		
AI2053		This course is a Major Elective Course for AI, APSY	
AI2073	This course is a Major Required Course for APSY	This course is a Major Elective Course for AI	
AI3033		This course is a Major Elective Course for AI	
AI3053		This course is a Major Elective Course for AI	
AI3063		This course is a Major Elective Course for AI	
AI3073		This course is a Major Elective Course for AI	
AI3083		This course is a Major Elective Course for AI	
AI4005		This course is a Major Elective Course for AI	
AI4013		This course is a Major Elective Course for AI	
AI4023		This course is a Major Elective Course for AI	
AI4033		This course is a Major Elective Course for AI	
AI4043		This course is a Major Elective Course for AI	
COMP3263		This course is a Major Elective Course for AI	
COMP3273		This course is a Major Elective Course for AI	
COMP4003		This course is a Major Elective Course for AI, CST (Intelligence Technology Stream), DS	
DS4073		This course is a Major Elective Course for AI, CST (Other Common Major Elective Courses), DS	
DS4083		This course is a Major Elective Course for AI, CST (Other Common Major Elective Courses), DS	
DS4093		This course is a Major Elective Course for AI, CST (Other Common Major Elective Courses), DS	
MATH1153		This course is a Major Elective Course for AI	
MATH1163		This course is a Major Elective Course for AI, CST (Other Common Major Elective Courses), DS	
MATH3153		This course is a Major Elective Course for AI	
PHYS2003		This course is a Major Elective Course for AI, AM, CST (Other Common Major Elective Courses), ENVS, FS (ME Courses on Science and Technology)	
AI2063		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration)	
AI3093		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration)	
AI3103		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration)	
AI4053		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration)	
AI4063		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration), AI (Concentration Elective Courses for AI in Multimedia Concentration)	
COMP4043		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration), CST (Intelligence Technology Stream)	
COMP4153		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration), CST (Intelligence Technology Stream), DS	
STAT4013	This course is a Major Required Course for STAT	This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Business and Finance Concentration), AM, CST (Intelligence Technology Stream), DS	
AI3113		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
AI3123		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
AI3133		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration), CST (Other Common Major Elective Courses), DS	
AI3143		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
AI3153		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
AI4083		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
AI4093		This course is a Major Elective Course for AI (Concentration Elective Courses for AI in Multimedia Concentration)	
COMM1023	This course is a Major Required Course for AIM, CCGC, CTV, MAD, MCOM (MR Courses on Media/Communication Theories), PRA		
CTV1013	This course is a Major Required Course for AIM, CTV, MAD		
MAD1003	This course is a Major Required Course for AIM, MAD		
AIM2023	This course is a Major Required Course for AIM		
AIM2033	This course is a Major Required Course for AIM		
AIM3133	This course is a Major Required Course for AIM		
CTV2073	This course is a Major Required Course for AIM, CTV, MAD		
AIM3023	This course is a Major Required Course for AIM		
AIM3043	This course is a Major Required Course for AIM		
AIM3083	This course is a Major Required Course for AIM		
AIM3013	This course is a Major Required Course for AIM		
AIM3033	This course is a Major Required Course for AIM		
AIM3053	This course is a Major Required Course for AIM		
AIM3063	This course is a Major Required Course for AIM		
AIM4023	This course is a Major Required Course for AIM		
AIM3073	This course is a Major Required Course for AIM		
CTV2033	This course is a Major Required Course for AIM, CTV, MAD		
AIM4003	This course is a Major Required Course for AIM		
AIM4033	This course is a Major Required Course for AIM		
AIM4043	This course is a Major Required Course for AIM		
AIM2003		This course is a Major Elective Course for AIM	
AIM2013		This course is a Major Elective Course for AIM	
AIM3003		This course is a Major Elective Course for AIM	
AIM3093		This course is a Major Elective Course for AIM, DMM	
AIM3103		This course is a Major Elective Course for AIM	
AIM3113		This course is a Major Elective Course for AIM	
AIM3123		This course is a Major Elective Course for AIM, DMM	
AIM3143		This course is a Major Elective Course for AIM	
AIM3153		This course is a Major Elective Course for AIM	
AIM3163		This course is a Major Elective Course for AIM	
AIM3173		This course is a Major Elective Course for AIM	
AIM4053		This course is a Major Elective Course for AIM	
AIM4063		This course is a Major Elective Course for AIM	
AIM4073		This course is a Major Elective Course for AIM	
AIM4083		This course is a Major Elective Course for AIM	
AIM4093		This course is a Major Elective Course for AIM	
AIM4103		This course is a Major Elective Course for AIM	
AIM4113		This course is a Major Elective Course for AIM	
CTV2013		This course is a Major Elective Course for AIM, CTV	
CTV2023	This course is a Major Required Course for CTV	This course is a Major Elective Course for AIM	
CTV4063		This course is a Major Elective Course for AIM, CTV	
CTV4113		This course is a Major Elective Course for AIM, CTV	
CTV4123		This course is a Major Elective Course for AIM, CTV	
CTV4163		This course is a Major Elective Course for AIM, CTV	
MAD3103		This course is a Major Elective Course for AIM, CST (Game Design Technology Stream), MAD	
MATH1053	This course is a Major Required Course for AM, FM, STAT	This course is a Major Elective Course for ENVS	
MATH1073	This course is a Major Required Course for AM, FM, STAT		
COMP1023	This course is a Major Required Course for AM, CST, DS, STAT		
MATH1063	This course is a Major Required Course for AM, FM, STAT		
MATH1083	This course is a Major Required Course for AM, FM, STAT		
COMP2003	This course is a Major Required Course for AM, CST, DS	This course is a Major Elective Course for STAT	
MATH2043	This course is a Major Required Course for AM, FM		
MATH2053	This course is a Major Required Course for AM		
STAT2063	This course is a Major Required Course for AM, FM		
MATH4083	This course is a Major Required Course for AM	This course is a Major Elective Course for FM	
OR4023	This course is a Major Required Course for AM, DS, STAT	This course is a Major Elective Course for FM	
STAT3083	This course is a Major Required Course for AM		
MATH4093	This course is a Major Required Course for AM	This course is a Major Elective Course for FM	
MATH4103	This course is a Major Required Course for AM		
MATH3033	This course is a Major Required Course for AM	This course is a Major Elective Course for FM	
MATH3163	This course is a Major Required Course for AM, STAT	This course is a Major Elective Course for FM	
MATH4123	This course is a Major Required Course for AM		
BIOL2003	This course is a Major Required Course for ENVS, FS	This course is a Major Elective Course for AM, CST (Other Common Major Elective Courses)	
DS4023	This course is a Major Required Course for CST, DS	This course is a Major Elective Course for AM, FM, STAT	
FINM3013		This course is a Major Elective Course for AM, FM	
FINM3113		This course is a Major Elective Course for AM, FM	
FINM3123	This course is a Major Required Course for FM	This course is a Major Elective Course for AM	
FINM3133	This course is a Major Required Course for FM	This course is a Major Elective Course for AM	
FINM3143	This course is a Major Required Course for FM	This course is a Major Elective Course for AM	
MATH3013		This course is a Major Elective Course for AM, FM	
MATH3143		This course is a Major Elective Course for AM	
MATH3173	This course is a Major Required Course for FM, STAT	This course is a Major Elective Course for AM	
MATH4003		This course is a Major Elective Course for AM, STAT	
MATH4033		This course is a Major Elective Course for AM, STAT	
MATH4113		This course is a Major Elective Course for AM	
MATH4143		This course is a Major Elective Course for AM	
MATH4153		This course is a Major Elective Course for AM	
MATH4163		This course is a Major Elective Course for AM	
OR3013		This course is a Major Elective Course for AM, STAT	
OR3023		This course is a Major Elective Course for AM, FM	
STAT4073	This course is a Major Required Course for DS	This course is a Major Elective Course for AM, FM, STAT	
PSY2043	This course is a Major Required Course for APSY		
PSY2013	This course is a Major Required Course for APSY		
PSY2033	This course is a Major Required Course for APSY		
PSY3013	This course is a Major Required Course for APSY		
PSY3063	This course is a Major Required Course for APSY		
PSY2023	This course is a Major Required Course for APSY		
PSY3003	This course is a Major Required Course for APSY		
PSY3073	This course is a Major Required Course for APSY		
PSY3133	This course is a Major Required Course for APSY		
PSY3023	This course is a Major Required Course for APSY		
PSY3043	This course is a Major Required Course for APSY		
PSY3053	This course is a Major Required Course for APSY		
PSY3183	This course is a Major Required Course for APSY		
PSY4003	This course is a Major Required Course for APSY		
PSY4004	This course is a Major Required Course for APSY		
PSY4053	This course is a Major Required Course for APSY		
PSY2003		This course is a Major Elective Course for APSY	
PSY3113		This course is a Major Elective Course for APSY	
PSY3123		This course is a Major Elective Course for APSY	
PSY3143		This course is a Major Elective Course for APSY	
PSY4005		This course is a Major Elective Course for APSY	
PSY4033		This course is a Major Elective Course for APSY	
PSY4043		This course is a Major Elective Course for APSY	
PSY4063		This course is a Major Elective Course for APSY	
PSY4093		This course is a Major Elective Course for APSY	
PSY4103		This course is a Major Elective Course for APSY	
PSY4113		This course is a Major Elective Course for APSY	
PSY4123		This course is a Major Elective Course for APSY	
PSY4133		This course is a Major Elective Course for APSY	
ENG1013	This course is a Major Required Course for ATS, CCGC, ELLS		
TRA1003	This course is a Major Required Course for ATS		
TRA2023	This course is a Major Required Course for ATS		
TRA2003	This course is a Major Required Course for ATS		
TRA3013	This course is a Major Required Course for ATS		
TRA2013	This course is a Major Required Course for ATS		
TRA3003	This course is a Major Required Course for ATS		
TRA3033	This course is a Major Required Course for ATS		
TRA3063	This course is a Major Required Course for ATS	This course is a Major Elective Course for DSS	
TRA3083	This course is a Major Required Course for ATS		
TRA4073	This course is a Major Required Course for ATS		
TRA3043	This course is a Major Required Course for ATS		
TRA3053	This course is a Major Required Course for ATS		
TRA3113	This course is a Major Required Course for ATS	This course is a Major Elective Course for DSS	
TRA3133	This course is a Major Required Course for ATS		
TRA4093	This course is a Major Required Course for ATS		
ENG2063		This course is a Major Elective Course for ATS, ELLS	
ENG2093		This course is a Major Elective Course for ATS, ELLS	
ENG2113		This course is a Major Elective Course for ATS, ELLS	
ENG3063		This course is a Major Elective Course for ATS, ELLS	
ENG3143		This course is a Major Elective Course for ATS	This course is a Concentration Required Course for ELLS (English for Professional Communication (EPC) Concentration Required Courses)
ENG3183		This course is a Major Elective Course for ATS, ELLS	
ENG4153		This course is a Major Elective Course for ATS, ELLS	
TESL4093		This course is a Major Elective Course for ATS, ELLS	
TRA2033		This course is a Major Elective Course for ATS, ELLS	
