course_code	course_type
ACCT2003	BBA
BUS1013	BBA
ECON2013	BBA
MKT2003	BBA
ACCT2013	BBA
ECON2003	BBA
BUS2013	BBA
ACCT4033	BBA
BUS2003	BBA
BUS3003	BBA
BUS3023	BBA
FIN2003	BBA
BUS4013	BBA
BUS4073	BBA
EBIS2023	BBA
BUS4083	BBA
ACCT3003	MR
ACCT3033	MR
ACCT3023	MR
ACCT3043	MR
BUS3013	MR
ACCT4003	MR
ACCT4043	MR
ACCT4053	MR
ACCT3013	ME
ACCT3053	ME
ACCT3063	ME
ACCT3083	ME
ACCT3093	ME
ACCT4013	ME
ACCT4023	ME
ACCT4063	ME
ACCT4083	ME
BUS4023	ME
FIN3013	ME
ECON3143	MR
ECON3013	MX
ECON3063	MR
ECON3003	MR
ECON4043	MR
ECON2023	ME
ECON2083	ME
ECON2093	ME
ECON3023	ME
ECON3043	ME
ECON3053	ME
ECON3073	ME
ECON3083	ME
ECON3113	ME
ECON3123	ME
ECON3153	ME
ECON3163	ME
ECON3173	ME
ECON3183	ME
ECON4003	ME
ECON4013	ME
ECON4023	ME
ECON4033	ME
ECON4053	ME
ECON4083	ME
ECON4093	ME
ECON4103	ME
ECON4113	ME
ECON4123	ME
ECON4133	ME
AI1003	MR
MATH1003	MX
MATH1123	MX
AI1013	MR
AI1023	MR
AI2033	MR
AI2003	MR
AI2013	MR
MATH2003	MR
AI2023	MR
AI3013	MR
AI3023	MR
COMP3023	MR
AI3003	MR
AI3163	MR
AI3043	MX
AI4003	MR
AI4004	MR
AI2053	ME
AI2073	MX
AI3033	ME
AI3053	ME
AI3063	ME
AI3073	ME
AI3083	ME
AI4005	ME
AI4013	ME
AI4023	ME
AI4033	ME
AI4043	ME
COMP3263	ME
COMP3273	ME
COMP4003	ME
DS4073	ME
DS4083	ME
DS4093	ME
MATH1153	ME
MATH1163	ME
MATH3153	ME
PHYS2003	ME
AI2063	ME
AI3093	ME
AI3103	ME
AI4053	ME
AI4063	ME
COMP4043	ME
COMP4153	ME
STAT4013	MX
AI3113	ME
AI3123	ME
AI3133	ME
AI3143	ME
AI3153	ME
AI4083	ME
AI4093	ME
COMM1023	MR
CTV1013	MR
MAD1003	MR
AIM2023	MR
AIM2033	MR
AIM3133	MR
CTV2073	MR
AIM3023	MR
AIM3043	MR
AIM3083	MR
AIM3013	MR
AIM3033	MR
AIM3053	MR
AIM3063	MR
AIM4023	MR
AIM3073	MR
CTV2033	MR
AIM4003	MR
AIM4033	MR
AIM4043	MR
AIM2003	ME
AIM2013	ME
AIM3003	ME
AIM3093	ME
AIM3103	ME
AIM3113	ME
AIM3123	ME
AIM3143	ME
AIM3153	ME
AIM3163	ME
AIM3173	ME
AIM4053	ME
AIM4063	ME
AIM4073	ME
AIM4083	ME
AIM4093	ME
AIM4103	ME
AIM4113	ME
CTV2013	ME
CTV2023	MX
CTV4063	ME
CTV4113	ME
CTV4123	ME
CTV4163	ME
MAD3103	ME
MATH1053	MX
MATH1073	MR
COMP1023	MR
MATH1063	MR
MATH1083	MR
COMP2003	MX
MATH2043	MR
MATH2053	MR
STAT2063	MR
MATH4083	MX
OR4023	MX
STAT3083	MR
MATH4093	MX
MATH4103	MR
MATH3033	MX
MATH3163	MX
MATH4123	MR
BIOL2003	MX
DS4023	MX
FINM3013	ME
FINM3113	ME
FINM3123	MX
FINM3133	MX
FINM3143	MX
MATH3013	ME
MATH3143	ME
MATH3173	MX
MATH4003	ME
MATH4033	ME
MATH4113	ME
MATH4143	ME
MATH4153	ME
MATH4163	ME
OR3013	ME
OR3023	ME
STAT4073	MX
PSY2043	MR
PSY2013	MR
PSY2033	MR
PSY3013	MR
PSY3063	MR
PSY2023	MR
PSY3003	MR
PSY3073	MR
PSY3133	MR
PSY3023	MR
PSY3043	MR
PSY3053	MR
PSY3183	MR
PSY4003	MR
PSY4004	MR
PSY4053	MR
PSY2003	ME
PSY3113	ME
PSY3123	ME
PSY3143	ME
PSY4005	ME
PSY4033	ME
PSY4043	ME
PSY4063	ME
PSY4093	ME
PSY4103	ME
PSY4113	ME
PSY4123	ME
PSY4133	ME
ENG1013	MR
TRA1003	MR
TRA2023	MR
TRA2003	MR
TRA3013	MR
TRA2013	MR
TRA3003	MR
TRA3033	MR
TRA3063	MX
TRA3083	MR
TRA4073	MR
TRA3043	MR
TRA3053	MR
TRA3113	MX
TRA3133	MR
TRA4093	MR
ENG2063	ME
ENG2093	ME
ENG2113	ME
ENG3063	ME
ENG3143	MX
ENG3183	ME
ENG4153	ME
TESL4093	ME
TRA2033	ME
TRA2043	ME
TRA2053	ME
TRA3073	ME
TRA3093	ME
TRA3103	ME
TRA3123	ME
TRA4003	ME
TRA4013	ME
TRA4023	ME
TRA4043	ME
TRA4053	ME
TRA4063	ME
TRA4083	ME
ACCT2043	MX
BA1003	MR
EBIS3033	MX
BA2003	MR
BA2023	MR
BA2043	MR
ECON2063	MR
BA2013	MR
BA2033	MR
BUS4093	MR
FIN3073	MX
BA3083	MR
BA3093	MR
BA3103	MR
BA3113	MR
BA4023	MR
BA4033	MR
BA4043	MR
BUS4103	MR
BA3013	ME
BA3053	ME
BA3043	ME
BA3023	ME
BA3123	ME
DMM3013	MX
DSS2033	MX
BA3073	ME
STAT4063	MX
BA3063	ME
BA3033	ME
BA4003	ME
BA4013	ME
EBIS2003	ME
CCGC1003	MR
CCGC1013	MR
CCGC1023	MR
CCGC2003	MR
CCGC2023	MR
MCOM1003	MR
CCGC3003	MR
CCGC3013	MR
CCGC3023	MR
CCGC3033	MR
CCGC3043	MR
CCGC4003	MR
CCGC4013	MR
MCOM3123	MX
CCGC4023	MR
CCGC1033	ME
CCGC1043	ME
CCGC2033	ME
CCGC2043	ME
CCGC2053	ME
CCGC2063	ME
CCGC2073	ME
CCGC2083	ME
CCGC3053	ME
CCGC3063	ME
CCGC3073	ME
CCGC3083	ME
CCGC3093	ME
CCGC3103	ME
CCGC3113	ME
CCGC4033	ME
CCGC4043	ME
CCGC4053	ME
CCGC4063	ME
CCGC4073	ME
COMM2023	ME
COMM3013	ME
COMM3023	ME
MCOM1013	MX
MCOM2063	ME
MCOM2073	ME
MCOM3003	MX
MCOM3043	ME
MCOM3053	ME
MCOM3063	ME
MCOM3073	ME
MCOM3133	MX
MCOM3163	ME
MCOM3173	ME
MCOM3253	ME
MCOM4083	ME
MCOM4093	ME
PRA2043	ME
PRA2053	ME
PRA3073	MX
PRA3113	ME
PRA4003	ME
PRA4013	ME
CCM2113	MX
CCM2093	MR
FIN2023	MR
BUS2053	MR
CCM3023	MR
CCM3033	MR
CCM4103	MR
CCM4093	MR
CCM2063	ME
CCM2123	ME
CCM3083	ME
CCM3093	ME
CCM3103	ME
CCM3113	ME
CCM3123	ME
CCM3133	MX
CCM3143	ME
CCM3153	ME
CCM3163	ME
CCM3173	ME
CCM4023	ME
CCM4033	ME
CCM4043	ME
CCM4053	MX
CCM4063	ME
CCM4073	ME
CCM4083	ME
CCM4113	ME
COMP1033	MR
COMP2013	MR
COMP1003	MX
COMP3013	MX
COMP2073	MR
COMP3003	MX
COMP3033	MX
COMP3173	MX
COMP3063	MX
COMP3253	MR
COMP4004	MR
COMP3073	ME
COMP3083	ME
COMP3103	ME
COMP3123	ME
COMP3163	ME
COMP3183	ME
COMP3193	ME
COMP3213	ME
COMP3223	ME
COMP4005	ME
COMP4023	ME
COMP4033	ME
COMP4053	ME
COMP4063	ME
COMP4073	ME
COMP4083	ME
COMP4093	ME
COMP4103	ME
COMP4113	ME
COMP4123	ME
COMP4133	ME
COMP4143	ME
COMP4163	MX
COMP4173	ME
COMP4213	ME
DS3023	ME
DS4033	ME
DS4053	ME
GCAP3123	ME
STAT3003	ME
STAT3073	MX
COMP3233	ME
COMP4183	ME
COMP4193	ME
MAD3033	MX
MAD3063	ME
COMP4203	ME
DS3053	ME
CTV1003	MR
CTV1023	MR
CTV2053	MR
CTV3023	MR
CTV2063	MR
CTV2093	MR
CTV3003	MR
CTV4203	MX
CTV4013	MX
CTV4153	MR
CTV2003	ME
CTV2083	ME
CTV3013	ME
CTV3033	ME
CTV3043	ME
CTV3053	ME
CTV3113	ME
CTV3123	ME
CTV3133	ME
CTV3143	ME
CTV4023	ME
CTV4033	ME
CTV4043	ME
CTV4053	ME
CTV4073	ME
CTV4083	ME
CTV4103	ME
CTV4133	ME
CTV4143	ME
CTV4173	ME
CTV4183	ME
CTV4193	ME
CTV4213	ME
CTV4223	ME
CTV4233	ME
CTV4243	ME
DSS1013	MR
DSS1023	MR
DS1013	MX
DSS2013	MX
DSS2023	MR
POLS2073	MR
DS2003	MR
GDST1083	MR
GTSC2053	MR
DSS3003	MR
ENV3073	MX
GLD3063	MR
PRA3063	MR
DSS3033	MR
DSS4023	MR
DHSS2003	ME
DSS3013	ME
DSS3023	ME
DSS3043	ME
DSS3053	ME
DSS3063	ME
DSS4033	ME
DSS4043	ME
ENG2053	ME
ENG2123	MX
ENG2143	MX
ENG3073	ME
ENG3153	ME
ENG3203	MX
GLD3123	MX
GLD3153	ME
PRA4073	ME
TESL3013	ME
DMM2023	MR
DMM2003	MR
DMM2013	MR
DMM3033	MR
DMM3073	MR
DMM3003	MR
DMM3023	MR
DMM4013	MR
DMM4023	MR
DMM3043	ME
DMM3053	ME
DMM3063	ME
DMM4003	ME
DMM4033	ME
MAD3093	ME
MAD3153	ME
MAD4053	ME
DS1023	MR
DS2043	MR
STAT2003	MR
DS3043	MR
STAT2013	MX
DS4004	MR
DS2033	ME
DS3033	ME
DS4005	ME
DS4063	ME
STAT3033	ME
STAT4003	ME
STAT4043	MX
EBIS3003	MR
EBIS3013	MR
EBIS3023	MX
ACCT4073	ME
EBIS2013	ME
EBIS3063	ME
EBIS3073	ME
EBIS3083	ME
EBIS3093	ME
EBIS4013	ME
EBIS4043	ME
EBIS4063	ME
EBIS4073	ME
ENG1003	MR
ENG2043	MR
ENG3033	MR
ENG2083	MR
ENG3393	MR
ENG4193	MR
ENG2223	CR
ENG3083	CR
ENG4123	CR
ENG4183	CR
ENG4203	CR
ENG2163	CR
ENG2173	CR
ENG3003	CR
ENG4053	CR
ENG3313	CR
ENG3353	CR
ENG3383	CR
ENG4133	CR
ENG3223	CR
TESL2003	CR
ENG2183	CR
TESL3063	CR
TESL3083	CR
TESL3033	CR
TESL3043	CR
TESL4053	CR
TESL4083	CR
TESL3093	CR
ENG2153	ME
ENG2193	ME
ENG2203	ME
ENG3023	ME
ENG3053	ME
ENG3093	ME
ENG3123	ME
ENG3163	ME
ENG3213	ME
ENG3233	ME
ENG3243	ME
ENG3303	ME
ENG3363	ME
ENG3373	ME
ENG3913	ME
ENG4013	ME
ENG4023	ME
ENG4063	ME
ENG4173	ME
ENG4213	ME
ENG4223	ME
PSY2053	ME
TESL2013	ME
TESL3003	ME
TESL4013	ME
TESL4063	ME
TESL4103	ME
ENV2003	MR
SCIT1023	MR
BIOL1023	MR
BIOL2023	MR
BIOL2103	MR
STAT1013	MR
BIOL2093	MR
CHEM2003	MR
CHEM2053	MR
BIOL3003	MR
ENV3043	MR
BIOL3053	MR
ENV3003	MR
ENV3163	MR
ENV3173	MR
ENV3013	MR
ENV4004	MR
BIOL1013	ME
BIOL2063	MX
BIOL2083	ME
BIOL3033	ME
BIOL4023	ME
CHEM3013	ME
ENV1003	ME
ENV1013	ME
ENV1023	ME
ENV3023	ME
ENV3053	ME
ENV3063	ME
ENV3083	ME
ENV3093	ME
ENV3103	ME
ENV3113	ME
ENV3123	ME
ENV3153	ME
ENV3183	ME
ENV3193	ME
ENV4003	ME
ENV4005	ME
ENV4013	ME
ENV4033	ME
ENV4043	ME
ENV4063	ME
ENV4073	ME
ENV4083	ME
GCAP3143	ME
MHR3003	MX
EPIN3003	MR
EPIN3013	MR
EPIN3023	MR
EPIN4003	MR
BUS3043	ME
EPIN3033	ME
EPIN3043	ME
EPIN3053	ME
EPIN3063	ME
EPIN4013	ME
EPIN4023	ME
EPIN4033	ME
FIN3043	MX
FIN4043	ME
FIN3093	MR
FIN3033	MR
FIN2013	ME
FIN3003	ME
FIN3023	ME
FIN3053	ME
FIN4003	ME
FIN4013	ME
FIN4023	ME
FIN4033	ME
FIN4053	ME
FIN4063	ME
COMP3153	MR
FINM2063	MR
COMP3283	MR
MATH2033	MR
ECON2103	MR
FINM3093	MR
ECON2113	MR
FINM3033	MR
FINM4073	MR
FINM4004	MR
ACCT2053	ME
FIN3063	ME
FINM2033	ME
FINM3023	ME
FINM3043	ME
FINM3063	ME
FINM3103	ME
FINM4005	ME
FINM4013	ME
FINM4023	ME
FINM4033	ME
FINM4043	ME
FINM4053	ME
FINM4063	ME
MATH3183	ME
OR2003	ME
STAT2023	MX
STAT3043	MX
FOOD1033	MR
BIOL2073	MR
BIOL2013	MR
BIOL2033	MR
FOOD2013	MR
CHEM2033	MR
FOOD3003	MR
FOOD3013	MR
FOOD3033	MR
FOOD3023	MR
FOOD3053	MR
FOOD3063	MR
FOOD3073	MR
FOOD4004	MR
BIOL3043	ME
CHEM2043	ME
CHEM2063	ME
ENGI2003	ME
ENGI2013	ME
FOOD3043	ME
FOOD3083	ME
FOOD3093	ME
FOOD4003	ME
FOOD4005	ME
FOOD4013	ME
FOOD4023	ME
FOOD4033	ME
FOOD4043	ME
FOOD4053	ME
FOOD4073	ME
FOOD4083	ME
FOOD4093	ME
FOOD4103	ME
FOOD4113	ME
FOOD4123	ME
FOOD4133	ME
FOOD4143	ME
FOOD4153	ME
GH2003	ME
GH2013	ME
GH2023	ME
GH3003	ME
GH4003	ME
GLD2013	MR
POLS1003	MR
POLS2033	MR
POLS3203	MR
GLD2043	MR
GLD2033	MR
GLD2053	MR
GLD3023	MR
POLS3263	MR
POLS3273	MR
POLS3253	MR
GLD4033	MR
GLD3083	CR
GLD3113	CR
POLS3093	CR
GLD3103	CR
GLD4023	CR
DSS2003	CR
GLD3003	CR
SWSA2063	CR
GLD2023	ME
GLD3013	ME
GLD3043	ME
GLD3053	ME
GLD3073	ME
GLD3093	ME
GLD3133	ME
GLD3143	ME
GLD3163	ME
GLD3173	ME
GLD4013	ME
POLS3003	ME
POLS3163	ME
POLS3283	ME
POLS3303	ME
POLS3313	ME
POLS3323	ME
MAD2003	MR
MAD2013	MR
MAD2023	MR
MAD2033	MR
MAD3003	MR
MAD3013	MR
MAD3023	MR
MAD4123	MR
MAD2043	ME
MAD3043	ME
MAD3053	ME
MAD3073	ME
MAD3083	ME
MAD3113	ME
MAD3123	ME
MAD3133	ME
MAD3143	ME
MAD4013	ME
MAD4023	ME
MAD4033	ME
MAD4063	ME
MAD4073	ME
MAD4083	ME
MAD4093	ME
MAD4103	ME
MAD4113	ME
MCOM2013	MR
MCOM2023	MR
MCOM3093	MR
MCOM4003	MR
MCOM2033	MR
MCOM2083	MR
MCOM2053	MR
MCOM3023	MR
MCOM3143	MR
MCOM4023	MR
MCOM4013	MR
MCOM4073	MR
MCOM2043	ME
MCOM2093	ME
MCOM3013	ME
MCOM3183	ME
MCOM3193	ME
MCOM3203	ME
MCOM4043	ME
MCOM4053	ME
MCOM2103	ME
MCOM2113	ME
MCOM3033	ME
MCOM3103	ME
MCOM3113	ME
MCOM3213	ME
MCOM3223	ME
MCOM3233	ME
MCOM3243	ME
MCOM4063	ME
MHR3023	MR
MHR3043	MR
MHR3013	MR
MHR3033	MR
BUS4033	ME
BUS4043	ME
MHR3063	ME
MHR3073	ME
MHR3083	ME
MHR4003	ME
MHR4013	ME
MKT3033	MR
MKT3023	MR
MKT3063	MR
MKT3013	MR
MKT4003	MR
BUS4063	ME
MKT2013	ME
MKT2023	ME
MKT3003	ME
MKT3043	ME
MKT3053	ME
MKT3073	ME
MKT3083	ME
MKT3093	ME
MKT3103	ME
MKT4013	ME
MKT4023	ME
MKT4033	ME
MKT4043	ME
MKT4053	ME
MUS1163	MR
MUS1173	MR
MUS1223	MR
MUS1193	MR
MUS1203	MR
MUS1243	MR
MUS2043	MR
MUS2053	MR
MUS2253	MR
MUS2063	MR
MUS2133	MR
MUS2263	MR
MUS3033	MR
MUS3053	MR
MUS3073	MR
MUS3113	MR
MUS3263	MR
MUS3043	MR
MUS3063	MR
MUS3083	MR
MUS3123	MR
MUS3093	MR
MUS4003	MR
MUS4013	MR
MUS4043	MR
MUS3103	MR
MUS4023	MR
MUS2073	ME
MUS2083	ME
MUS2093	ME
MUS2103	ME
MUS2113	ME
MUS2123	ME
MUS2143	ME
MUS2153	ME
MUS2233	ME
MUS2273	ME
MUS2283	ME
MUS3133	ME
MUS3143	ME
MUS3283	ME
MUS3303	ME
MUS3313	ME
MUS3323	ME
MUS4053	ME
MUS4063	ME
MUS4073	ME
COMM2043	MR
PRA2013	MR
PRA2003	MR
PRA2033	MR
COMM2003	MR
PRA3013	MR
COMM3003	MR
PRA3003	MR
PRA3023	MR
PRA3083	MR
PRA3093	MR
PRA4033	MR
PRA4063	MR
PRA4093	MR
COMM2033	ME
PRA3033	ME
PRA3043	ME
PRA3053	ME
PRA3103	ME
PRA4043	ME
PRA4053	ME
PRA4083	ME
MATH4063	MR
STAT4004	MR
MATH2013	ME
MATH4023	ME
MATH4043	ME
MATH4053	ME
OR3003	ME
OR4003	ME
OR4013	ME
OR4033	ME
STAT3013	ME
STAT3023	ME
STAT4005	ME
STAT4023	ME
STAT4033	ME
STAT4053	ME
STAT4103	ME
STAT4113	ME
THEM2043	MR
THEM3073	MR
THEM3113	MR
THEM3123	MR
THEM3003	MR
THEM3023	MR
THEM3133	MR
THEM3033	MR
THEM3043	MR
THEM3143	MR
THEM4043	MR
THEM3013	MR
THEM4003	MR
THEM4033	MR
THEM3053	MR
THEM4013	MR
TEM3003	ME
TEM3013	ME
TEM3023	ME
TEM3033	ME
TEM4013	ME
THEM2003	ME
THEM2023	ME
THEM2033	ME
THEM3063	ME
THEM3083	ME
THEM3093	ME
THEM3103	ME
THEM4023	ME
