course_code	course_description
AI3003	This course teaches students the basic concepts and theories in deep learning  some state-of-the-art algorithm, codes and tools in a variety of computer languages, and teaches students how to apply deep learning to real world problems.
AI3093	Decision theory studies the logic and the mathematical properties of decision making under uncertainty. Statistical decision theory focuses on the investigation of decision making when uncertainty can be reduced by information acquired through experimentation. This course is a survey of the introductory concepts and techniques of decision theory and their applications from a statistical perspective. The objective is to introduce many basic concepts and methods of decision making to the students.
COMP1033	The aim of this workshop is to introduce the basic concepts in system programming and web programming. This includes practical hands-on experience on programming in the frontend client side, as well as the backend server side.
AI3023	The aim of the course is to introduce a cloud-based service for creating and managing machine learning solutions. Its designed to help students to leverage their existing data processing and model development skills & frameworks.
AI2073	This course aims to illustrate lawful relations between perceptual experiences and the physical world and to develop models of the processes and mechanisms that produce these connections. We will discuss fundamental problems in perception and learn how the latest technology allows us to measure the brain's responses to various sensory stimuli, and how conscious effort and experience can affect these responses.
AI3033	This course aims to introduce students to the concepts involved with autonomous robotic systems. The objective of this course is to use a hands-on approach to introduce the basic concepts in robotics, focusing on mobile robots.
AI3043	Bayesian networks, also called belief networks or Bayes nets, are probabilistic graphical models for representing knowledge about an uncertain domain. This course aims to facilitate the students to develop the knowledge and skills necessary to effectively design, implement and apply Bayesian networks to solve real problems. The course will cover (a) Bayesian networks representations; (b) exact and approximate inference  methods; (c) estimation of both the parameters and structure of graphical models. Students entering the class should have good Programming skills and knowledge of algorithms. Undergraduate-level knowledge of probability and statistics is required.
AI3103	This course is designed to introduce theory of regression analysis and techniques which have been used in data analysis; to emphasise recent developments in the regression analysis such as statistical diagnostics and nonlinear regression, and motivate students to analyse multivariate data with the help of statistical packages such as MATLAB, R or SPSS.
AI3053	The focus of this course is to provide the basic concept and knowledge of Intelligent Agent Technology (IAT) and how such cutting-edge technology can be applied and adopted in our daily life and works. It teaches students the basic concept and theories of Intelligent Agent Technology (IAT); the core AI enabling technologies for the support of IAT; the major intelligent agents and mobile agent applications; and the design and development of intelligent agent and mobile agent applications with the adoption of Java Agent Development Environment (JADE).
AI3063	The primary objective of this course is to exposes the students to the neural processes, biological substrates and cognitive functions of the human brain, as well as up-to-date neural methods in the neuroscience including brain imaging, electrical measurement and stimulation of the brain, and eye-tracking techniques. The course will also introduce computational algorithms to examine and/or simulate simple neurocognition. Students will develop an advanced understanding of the biological bases of neural network, paving the way for their future creative work and research in the field of artificial intelligence.
AI3073	The course is designed to introduce the most important and basic concepts, methods, and tools used in Bioinformatics which includes an introduction to Bioinformatics, experience with select bioinformatics tools and databases currently utilized in the life sciences.
AI3083	The artificial intelligence project allows students to create a usable/public software system with technology in artificial intelligence that can be used to show their professional skills to potential employers. Students engage in an independent problem-solving activity under the supervision of a faculty member or with an industrial partner. The project demands careful planning and creative application of underlying theories and enabling technologies in artificial intelligence. A report, a software/hardware system and an oral presentation are required for successful completion of the project. The projects are drawn from real-world problems and are conducted with industry, government, and/or academic partners.
CCM3173	This course will focus on the development of art movements and art trends in the Cultural and Creative Industries. The scopes will cover from mid-twentieth century to the present time with a view on the current development in western countries, the modern and post-modern art of Asia Pacific region and Hong Kong. It aims to provide students with both theories and applications of the current art scenes of the global world and China as from 1945 to the current decade.
ACCT2053	(For non-ACCT students.) The objective of this course is to provide students with a general understanding of basic accounting concepts, accounting cycle (bookkeeping), principles and their applications in some selected financial and management topics including partnerships; corporations; non-current liabilities; cash flow statement; financial performance analysis; accounting for manufacturing operations; cost behaviour and CVP analysis; budgeting and budgetary control.
AI1003	This course provides students with basic knowledge of Python Programming language, based on which computer-oriented problem modelling and solving skills can be developed. Students will learn about basic concepts of computer Programming and how to write elegant Python Programmes. Specific topics will include data types, control flows, data structures, functions, and the mechanics of running, testing, and debugging. After learning this course, students will be able to solve problems, explore real-world Programming development challenges, and create small yet practical python applications.
ACCT3073	This course aims to introduce students to the basic concepts and techniques in cost and management accounting; to develop students' ability in using relevant accounting data for management policy determination, decision making and performance evaluation; and to enable students to design and evaluate different cost accounting systems for operational planning and control.
ACCT4073	(For non-ACCT students.) The objective of this course is to provide students with an in-depth study of the application of information systems knowledge to the accounting environment. The course covers the processing of accounting data in computer environment; designing business processes and representing them with documentation tools; and the controls that are necessary to assure accuracy and reliability of the data processed by the accounting system.
AI2003	This course aims to develop the students' knowledge in data structures and the associated algorithms. This course introduces the concepts and techniques of structuring and operating on abstract data types, commonly used algorithms, classic techniques to design algorithms, and efficiency of algorithms.
AI2013	This course is designed for students seeking a broad understanding of Artificial Intelligence. This introductory course provides a broad overview of modern artificial intelligence. The students will learn how machines can engage in problem solving, reasoning, learning, and interaction. The students will design, test and implement algorithms. The students will also gain an appreciation of this dynamic field.
AI2023	As an integration of the AI2013 Introduction to Artificial Intelligence course which focuses on the basic concepts and knowledge of AI with the basic Python programming skill learnt in AI1003 Python Programming, this AI workshop will focus on how various key AI technologies work for the implementation of AI applications using Python, which include Machine Learning (ML), Logic Programming (LP), Deep Learning (DL), Natural Language Processing (NLP), Computer Vision (CV), etc.
AI2033	The focus of this course is the basic knowledge of the rigorous frame of the probability theory and the objective is to introduce the mathematical foundation of many basic statistical concepts and methods to the students.
AI3113	This course introduces fundamentals of speech processing in both time domain and frequency domain, speech production and mechanics, characteristic parameters of speech, vector quantization techniques, hidden Markov models, and neural networks applied to speech coding, speech synthesis, statistical speech recognition, and speech enhancement.
AI3133	The objective of this course is to provide NLP basic concepts and knowledge to students, together with a 14-hour 7 step-by-step NLP workshops with hand-on practice on various core  Python-based NLP tools include NLTK, spaCy, Tensor-Flow Keras, Transformer and BERT Technology to build NLP applications.
