cid,descrption
COMP1003,"An introduction to the building blocks and organisation of modern digital computers. The course answers the question: How does a computer work?
Topics include: historical development of computing and the von Neumann model; data representation in computer systems; Boolean algebra, digital logic and its application to understanding Central Processing Unit (CPU) organisation; combinational and sequential circuits; Finite State Machine (FSM); Instruction Set Architecture (ISA); Assembly Language Programming; other basic modules, such as cache memory, virtual memory, and input/output techniques."
COMP1013,"This course introduces a methodical approach to program development, starting from problem formulation and specification, through design of the solution, implementation, and documentation, to evaluation of the solution. The subject matter is taught through a high-level structured programming language. At present, C is used."
COMP2003,"This course develops students’ knowledge of
data structures and their associated algorithms. It introduces the
concepts and techniques of structuring and operating on Abstract
Data Types in problem solving. Common sorting, searching and
graph algorithms will be discussed, and their complexity studied."
COMP2013,"This course introduces object-oriented
programming concepts, principles, and techniques, including classes,
objects, inheritance, and polymorphism. All these concepts are
illustrated using a contemporary object-oriented programming
language. Upon completion, students should be able to use an
object-oriented language to develop complex programmes."
COMP2023,"This workshop introduces the basic concepts
in network and server administration. Practical, hands-on
experience of server administration will be emphasised."
GCIT1003,"This course introduces students to the
fundamental concepts of Information Technology (IT), and develops
students’ confidence in using computers and computer applications.
Useful and practical course contents are selected for learning how to
be a competitive person in this information era. Students are
introduced to the background of Computer Science, and the modern
IT sector. Some of the major IT organisations are introduced, and
current IT issues and questions are discussed. The basic architecture
and design of a computer is explained. Software applications useful
for students of all majors are introduced."
COMP3003,"Students will learn the principles of data
communications, computer networks and network programming.
Topics include: Network hardware and software, Network
topologies and categories, Reference models and standards,
Physical layer: signal analysis, bandwidth and data rate,
transmission media, encoding, transmission, Data link layer,
Network layer, Ethernet, Fast Ethernet, Gigabit Ethernet, Wi-Fi,
TCP/IP, Socket programming, Client and Server software."
COMP3013,"This course introduces how to represent the
data in a database for a given application and how to manage and
use a database management system. Topics include: conceptual
modelling of a database, relational data model, relational algebra,
database language SQL, relation database design, and emerging
XML data models. In addition, hands-on DBMS experience is
included."
COMP3023,"This course builds on the study of the analysis
and implementation of algorithms and data structures (COMP2003).
The goal is to introduce a number of important algorithms that are
interesting both from a practical and theoretical point of view.
Algorithm design paradigms such as divide-and-conquer and
dynamic programming will be discussed, and algorithms for sorting,
searching, and graph problems, etc. will be developed."
COMP3033,"Introduces the fundamentals of operating
system design and implementation. Topics include an overview of
the components of an operating system, mutual exclusion and
synchronisation, deadlocks and starvation, implementation of
processes and threads, resource scheduling algorithms, memory
management, and file systems."
COMP3043,"This workshop introduces the latest
multimedia software tools, and advanced network administration.
Practical, hands-on experience of multimedia software tools and
network administration will be emphasised."
COMP3053,"This workshop introduces the state-of-the-art
technologies in Web applications, and enhances practical, hands-on
experience of Web programming."
COMP3063,"This course discusses the principles and
practical aspects of software development. It studies the
methodology of software development as well as the organisation,
planning and management of the development process so that
students will appreciate the difficulties involved in a large system
development project and the importance of a disciplined approach
to the problem."
COMP4004,"Students will undertake an individual project
under the supervision of a faculty member and gain the practical
experience of applying computer systems principles and techniques
acquired from the course to the solution of real-life problems. The
project demands careful planning and creative application of
underlying theories and enabling technologies. A thesis and an oral
presentation are required upon successful completion of the project.
This course is open to Computer Science majors only"
MATH1003,"This course introduces the basic techniques in
matrix algebra, which is the foundation for more advanced
mathematics and statistics subjects. Major emphasis will be on the
system of linear equations, linearly independence, and eigenvalue
problems in finite dimensional vector spaces. Basic ideas and
techniques on calculus will be introduced."
MATH2003,"This course addresses a variety of
fundamental topics in computer science, including propositional and
predicate logic, proof technique, set theory, combinatorics, graph
theory, and Boolean algebra."
MATH1073,"This course introduces the basic ideas and
techniques in single variable calculus with mathematical rigour to
prepare students for more advanced mathematical and statistical
subjects."
COMP3083,"This course aims to introduce students to the
concepts involved with numerical calculations on computing
devices. The objective of this course is to discuss and analyse
mathematical principles and algorithms used to solve a variety of
problems that arise in disciplines such as the natural and social
sciences, and engineering."
COMP3173,"This course introduces the concepts that
underline most of the programming languages students are likely to
encounter, and illustrates those concepts with examples from
various languages. Topics include syntax and semantic analysis,
bindings, type systems, programming paradigms, control abstraction
and flow."
COMP3193,"This course introduces an overview of the
field of Cloud Computing, its enabling technologies, main building
blocks of cloud computing systems and its application. This course
will cover the topics of cloud infrastructures, virtualization,
software defined networks and storage, cloud storage, and
programming models. Also, hands-on experience through projects
utilizing cloud infrastructures (provided by campus datacentres or
public cloud services) will be provided."
COMP4003,"This course aims to introduce the fundamental
concepts in theoretical computer science. Topics include
deterministic and non-deterministic finite automata, regular
languages, context-free languages, Turing machines, Church’s
thesis, the halting problem, computability, and complexity. Also,
the formal relationships between machines, languages and
grammars are addressed."
