course_code	course_name	prerequisite	unit
ACCT2003	PRINCIPLES OF ACCOUNTING I	N/A	3
ACCT2013	PRINCIPLES OF ACCOUNTING II	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT2033	INTRODUCTION TO FINANCIAL	N/A	3
ACCT2043	PRINCIPLES OF ACCOUNTING I	N/A	3
ACCT2053	PRINCIPLES OF ACCOUNTING II	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT2063	FUNDAMENTAL ACCOUNTING PRINCIPLES	N/A	3
ACCT3003	COST AND MANAGEMENT ACCOUNTING I	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT3013	COST AND MANAGEMENT ACCOUNTING II	ACCT3003 COST AND MANAGEMENT ACCOUNTING I	3
ACCT3023	HONG KONG TAXATION	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT3033	INTERMEDIATE ACCOUNTING I	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT3043	INTERMEDIATE ACCOUNTING II	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT3053	CORPORATE GOVERNANCE AND ACCOUNTING	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT3063	TAX PLANNING AND MANAGEMENT	ACCT3023 HONG KONG TAXATION	3
ACCT3073	COST AND MANAGEMENT ACCOUNTING	ACCT2033 INTRODUCTION TO FINANCIAL ACCOUNTING (FOR NON-BBA MAJOR STUDENTS)	3
ACCT3083	CHINESE TAXATION LAW	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I	3
ACCT3093	CHINESE ECONOMIC LAW	N/A	3
ACCT4003	AUDITING I	ACCT3033 INTERMEDIATE ACCOUNTING I	3
ACCT4013	AUDITING II	ACCT4003 AUDITING I	3
ACCT4023	FINANCIAL ACCOUNTING THEORY	ACCT3033 INTERMEDIATE ACCOUNTING I, and ACCT3043 INTERMEDIATE ACCOUNTING II	3
ACCT4033	ACCOUNTING INFORMATION SYSTEMS	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT4043	ADVANCED ACCOUNTING I	ACCT3033 INTERMEDIATE ACCOUNTING I, and  ACCT3043 INTERMEDIATE ACCOUNTING II	3
ACCT4053	ADVANCED ACCOUNTING II	ACCT3033 INTERMEDIATE ACCOUNTING I, and  ACCT3043 INTERMEDIATE ACCOUNTING II, and  ACCT4043 ADVANCED ACCOUNTING I	3
ACCT4063	ACCOUNTING INTERNSHIP	ACCT2003/ACCT2043 PRINCIPLES OF ACCOUNTING I, and  ACCT2013 PRINCIPLES OF ACCOUNTING II	3
ACCT4073	ACCOUNTING INFORMATION SYSTEMS	ACCT2013/ACCT2053 PRINCIPLES OF ACCOUNTING II	3
ACCT4083	FRONTIERS OF ACCOUNTING DIGITALIZATION AND AUTOMATION	ACCT3003 COST AND MANAGEMENT ACCOUNTING I, and ACCT4003 AUDITING I, and ACCT3043 INTERMEDIATE ACCOUNTING II	3
AI1003	PYTHON PROGRAMMING	N/A	3
AI1013	OBJECT-ORIENTED PROGRAMMING	N/A	3
AI1023	DATABASE MANAGEMENT SYSTEMS	AI1003 PYTHON PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
AI1033	INTRODUCTION TO COMPUTER SYSTEMS	N/A	3
AI2003	DATA STRUCTURES AND ALGORITHM ANALYSIS	AI1013 OBJECT-ORIENTED PROGRAMMING	3
AI2013	INTRODUCTION TO ARTIFICIAL INTELLIGENCE	AI1003 PYTHON PROGRAMMING	3
AI2023	ARTIFICIAL INTELLIGENCE WORKSHOP	AI1003 PYTHON PROGRAMMING, and AI2013 INTRODUCTION TO ARTIFICIAL INTELLIGENCE	3
AI2033	PROBABILITY AND STATISTICS	MATH1073 CALCULUS I or MATH1123 CALCULUS FOR SCIENCE AND ENGINEERING or MATH1103 CALCULUS	3
AI2043	OPERATING SYSTEMS	AI1003 PYTHON PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS) or COMP3153 C++ PROGRAMMING LANGUAGE	3
AI2053	INTRODUCTION TO COGNITIVE SCIENCE	N/A	3
AI2063	GAME THEORY	N/A	3
AI2073	PERCEPTION	N/A	3
AI3003	NEURAL NETWORKS AND DEEP LEARNING	AI1023 DATABASE MANAGEMENT SYSTEMS or DS2003 FUNDAMENTALS OF DATABASE SYSTEMS	3
AI3013	MACHINE LEARNING	AI1003 PYTHON PROGRAMMING or AI1013 OBJECT-ORIENTED PROGRAMMING or COMP1013 STRUCTURED PROGRAMMING or COMP3153 C++ PROGRAMMING LANGUAGE or GCIT1013 FOUNDATIONS OF C PROGRAMMING or STAT2043 STRUCTURED PROGRAMMING (FOR STAT STUDENTS)	3
AI3023	MACHINE LEARNING WORKSHOP	AI1003 PYTHON PROGRAMMING	3
AI3033	INTRODUCTION TO ROBOTICS	COMP1013 STRUCTURED PROGRAMMING or GCIT1013 FOUNDATIONS OF C PROGRAMMING or COMP2003 DATA STRUCTURES AND ALGORITHMS or AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS	3
AI3043	BAYESIAN NETWORKS	AI2033 PROBABILITY AND STATISTICS, and AI2003 DATA STRUCTURES AND ALGORITHM ANALYSIS or COMP2003 DATA STRUCTURES AND ALGORITHMS	3
AI3053	INTELLIGENT AGENT TECHNOLOGY	N/A	3
AI3063	NEUROSCIENCE IN ARTIFICIAL INTELLIGENCE	N/A	3
AI3073	INTRODUCTION TO BIOINFORMATICS	N/A	3
AI3083	ARTIFICIAL INTELLIGENCE PROJECT	N/A	3
AI3093	DECISION THEORY	AI2033 PROBABILITY AND STATISTICS	3
AI3103	REGRESSION ANALYSIS	MATH1003 LINEAR ALGEBRA or MATH1063 LINEAR ALGEBRA II	3
AI3113	SPEECH PROCESSING AND RECOGNITION	MATH1003 LINEAR ALGEBRA, and AI2033 PROBABILITY AND STATISTICS	3
